api_unii,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolMR,LabuteASA,BalabanJ,BertzCT,HallKierAlpha,NumSaturatedRings,NumHeteroatoms,NHOHCount
U3H27498KS,256.09599999999995,2.0098,90.71,2,5,1,2,0,2,0.0,16,82,64.1078,101.40220868459403,2.632549823314152,543.4177085952953,-1.59,0,7,4
6KY687524K,490.62600000000026,3.0740000000000016,124.68,3,5,7,1,2,3,0.5416666666666666,34,186,128.52190000000004,200.95385825296714,1.4606470073677094,1057.3391753589833,-2.88,1,10,3
0G389FZZ9M,161.201,-1.8064999999999976,60.36,1,3,4,0,0,0,0.8571428571428571,11,66,38.530199999999994,66.64869847544368,3.6942591252386228,139.1113374466282,-0.6100000000000001,0,4,1
423D2T571U,296.40999999999997,3.612600000000003,40.46,2,2,0,1,3,4,0.6,22,116,86.50660000000003,132.1107921567131,1.7217049645427582,658.1613573389167,-1.4600000000000002,2,2,2
U202363UOS,360.837,4.680000000000004,52.6,0,4,6,2,0,2,0.3,25,132,97.26150000000004,152.26143512671686,2.099929247281439,746.2705504674376,-2.329999999999999,0,5,0
3ST302B24A,461.01000000000005,0.8998999999999997,90.82000000000001,1,5,8,4,0,4,0.2727272727272727,31,154,114.89280000000001,228.22464805613313,2.7224962102304753e-06,1111.7488853570685,-1.3936363636363636,0,9,1
26LUD4JO9K,313.872,4.590400000000005,3.24,0,1,3,2,1,3,0.3,22,116,97.79000000000005,139.62552697777318,1.763332159631371e-06,608.7617496026902,-1.5699999999999994,0,2,0
4G7DS2Q64Y,314.46900000000005,4.723500000000005,34.14,0,2,1,0,4,4,0.8095238095238095,23,126,90.88100000000006,139.6482098695481,1.6696033124820626,588.6489897976311,-0.9200000000000002,3,2,0
1Y58DO4MY1,302.849,3.954600000000004,15.27,1,2,4,2,1,3,0.3333333333333333,21,112,93.08970000000005,133.13510796477226,1.6133323159562277e-06,535.4359389064937,-1.5099999999999993,0,3,1
6CW7F3G59X,171.23999999999998,1.3703,63.31999999999999,2,2,3,0,1,1,0.8888888888888888,12,70,46.82520000000001,72.94860333872566,2.5326302810221746,161.9114705065293,-0.5700000000000001,1,3,3
JFU09I87TR,349.31600000000003,2.1769000000000003,76.72,1,5,5,3,0,3,0.25,25,130,80.68180000000002,140.56237734998655,2.1271464030010665,873.966564339529,-2.8099999999999996,0,9,1
207LT9J9OC,421.9730000000001,2.5100000000000002,69.64000000000001,0,6,6,1,3,4,0.7142857142857143,29,160,114.02200000000006,178.81286002879168,2.4024958894072396e-06,667.5716854113509,-1.73,3,8,0
VZI5B1W380,252.273,2.642199999999999,63.400000000000006,1,2,0,2,1,3,0.06666666666666667,19,94,72.64090000000003,110.00026108252523,2.3164023693608686,679.3507213541043,-2.62,0,4,2
0P6C6ZOP5U,403.212,5.030900000000003,60.45,1,4,7,2,1,3,0.29411764705882354,26,138,93.50320000000002,157.76804484163932,1.8109905158998685,796.3401511649429,-2.1199999999999997,1,9,1
4A2Y23XK11,554.6550000000002,4.104200000000003,109.67000000000002,2,9,10,4,1,5,0.26666666666666666,41,212,160.11639999999963,238.97614849587245,1.4850911676615497,1513.667621116887,-4.739999999999999,1,11,2
KG60484QX9,345.42400000000015,2.8997400000000013,83.09,1,5,5,3,0,3,0.29411764705882354,24,126,93.02110000000005,142.96481028678312,1.8844828594834786,878.8884252759138,-2.25,0,7,1
7LXU5N7ZO5,330.749,1.8907,122.63,3,5,5,2,0,2,0.08333333333333333,21,112,75.81920000000001,124.92226167058831,2.4066257491277265,771.1955159056121,-2.03,0,9,4
LX1OH63030,191.13899999999998,-1.2782,91.06,1,6,2,0,2,2,1.0,13,74,37.354200000000006,73.29418295544856,1.9795730634118363,221.17001630580296,-0.9200000000000002,2,7,1
Z6375YW9SF,377.8680000000001,1.947200000000001,70.0,2,5,2,1,5,6,0.65,26,140,97.04560000000004,158.2878987100988,1.4999987282927976e-06,809.2460744994622,-1.2999999999999998,3,6,2
JJ768O327N,368.499,2.4998000000000005,126.64,4,4,4,2,0,2,0.3333333333333333,25,140,101.76820000000008,150.00146735131923,3.679999956556668e-07,606.4901251321179,-1.7699999999999996,0,7,6
660YQ98I10,74.551,-5.992,0.0,0,0,0,0,0,0,0.0,2,8,0.0,62.44413570781571,0.0,2.0,1.9263636363636363,0,2,0
JY0WD0UA60,215.768,3.1159000000000012,26.02,1,1,0,0,4,4,1.0,14,82,61.572400000000044,93.2291047751667,7.499997907500589e-07,212.2533564975087,0.24999999999999997,4,2,2
V92SO9WP2I,398.3410000000002,-0.5396999999999983,46.53,1,3,4,1,2,3,0.631578947368421,24,134,88.63620000000006,154.71579665058727,2.0833314752100527e-06,556.9901447057542,-0.9100000000000001,2,5,1
IR84JPZ1RK,455.51100000000014,1.6364999999999998,142.96,5,5,6,2,2,4,0.375,33,176,123.60680000000008,190.9532280952252,3.307499635588011e-07,1082.8097210184906,-3.43,0,9,5
OL961R6O2C,384.25900000000007,3.9643000000000033,64.63,1,5,4,1,1,2,0.3333333333333333,25,134,96.38770000000004,156.13220057083123,2.7389310603483206,783.28078615776,-1.979999999999999,0,7,1
VB0R961HZT,358.4340000000001,1.7658,91.67,2,5,2,0,4,4,0.6666666666666666,26,140,94.04860000000005,152.70859644179959,1.7605370426078073,764.3631263188779,-1.59,3,5,2
11SV1951MR,444.98100000000005,2.7627,99.88,2,6,11,2,0,2,0.4,29,162,115.88990000000004,178.55229195483983,4.204993537843532e-06,876.9253207356763,-1.9999999999999996,0,9,3
17ERJ0MKGI,411.49800000000016,3.8350000000000017,92.7,2,4,11,2,0,2,0.375,30,160,114.79650000000008,176.81001016376254,2.073600101387581,832.4346097371429,-3.15,0,6,2
X6Q56QN5QC,76.05499999999999,-0.9561000000000002,75.35000000000001,3,2,0,0,0,0,0.0,5,30,14.5056,28.538798260168065,2.8473789230876716,42.91260938324327,-0.77,0,4,4
3M8608UQ61,446.5160000000002,-1.890299999999995,127.12000000000002,3,7,10,0,2,2,0.7391304347826086,31,170,108.81440000000008,206.40403323421833,4.804992319375345e-06,662.3104274487301,-0.7000000000000002,0,8,3
V9EFU16ZIF,302.458,4.269300000000005,37.3,1,2,0,0,4,4,0.85,22,122,87.33380000000005,133.9159794073037,1.6968001719233181,545.9104984355639,-0.6300000000000001,3,2,1
W76I6XXF06,266.55899999999997,2.7863,36.42,2,3,1,1,1,2,0.2222222222222222,15,82,67.6374,104.27507086854654,1.124999608500141e-06,358.6153606097086,-0.6399999999999999,0,6,2
73K4184T59,780.9490000000002,2.2181000000000015,203.05999999999997,6,14,7,0,8,8,0.926829268292683,55,312,192.61079999999947,323.32242456304374,0.8374981988041249,1409.0037418555949,-1.27,7,14,6
BDF1O1C72E,926.107000000001,0.9357000000000051,319.60999999999996,12,17,3,0,3,3,0.7021276595744681,65,370,237.08519999999936,381.2251637256643,1.8373051498792174,1619.952954386341,-3.18,2,18,13
229809935B,345.91400000000004,4.713800000000005,20.310000000000002,0,2,7,2,0,2,0.38095238095238093,24,130,103.97600000000006,151.84742537792707,2.8799978391016836e-06,585.3017087010423,-1.6399999999999992,0,3,0
U8HTX2GK8J,477.99600000000015,4.451380000000004,102.28999999999999,2,5,7,4,1,5,0.3076923076923077,34,176,136.58459999999997,204.06565913604078,2.7379942226474782e-06,1344.4869684769883,-3.4699999999999993,1,8,3
0VE05JYS2P,311.85600000000005,4.9756000000000045,3.24,0,1,3,2,1,3,0.2,22,114,99.31000000000004,138.9359239455889,1.76333217841468e-06,646.8583615681584,-1.8299999999999992,0,2,0
R61ZEH7I1I,320.88899999999995,4.6612000000000045,6.48,0,3,3,2,1,3,0.29411764705882354,21,112,94.41000000000005,137.10324736233622,1.6133323421117405e-06,569.7440326769416,-1.1599999999999997,0,4,0
