api_unii,smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolMR,LabuteASA,BalabanJ,BertzCT,HallKierAlpha,NumSaturatedRings,NumHeteroatoms,NHOHCount
1XL6BJI034,c1cc(ccc1C(=O)NCCC(=O)[O-])/N=N/c2ccc(c(c2)C(=O)[O-])O.[Na+].[Na+].O.O,437.3160000000002,-7.600499999999996,217.31,2.0,8.0,7.0,2.0,0.0,2.0,0.1176470588235294,30.0,150.0,92.24010000000004,214.96542158461315,-1.8224994321564355e-06,828.8420742491606,-1.83,0.0,13.0,6.0
8G388563M7,CCOC(=O)[C@H](Cc1ccc(cc1)-c2cc(nc(N)n2)O[C@H](c3ccc(cc3-n4ccc(C)n4)Cl)C(F)(F)F)N,574.9910000000002,4.988620000000003,131.17,2.0,8.0,9.0,4.0,0.0,4.0,0.2592592592592592,40.0,210.0,142.92779999999993,232.4370184604592,1.6388613189559178,1434.3892789950503,-4.159999999999999,0.0,13.0,4.0
QXS94885MZ,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@H](CCc2ccccc2)O)[C@@H](C[C@@H]1O)O,415.57400000000007,3.1469000000000023,89.79,4.0,4.0,12.0,1.0,1.0,2.0,0.56,30.0,166.0,119.81210000000006,180.07435161537455,1.7762542516079391,649.87570057313,-1.95,1.0,5.0,4.0
DIA2A74855,CC(C)NCC(c1ccc(c(c1)O)O)O.Cl,247.722,1.5510000000000002,72.72,4.0,4.0,4.0,1.0,0.0,1.0,0.4545454545454545,16.0,92.0,65.11810000000004,101.34177038422553,2.249999009250455e-06,309.8143909481187,-0.97,0.0,5.0,4.0
PKI06M3IW0,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C,250.342,2.7597000000000014,32.78,0.0,3.0,4.0,1.0,0.0,1.0,0.5,18.0,100.0,72.87200000000004,109.1456747046272,2.79567937916971,386.7797132583326,-1.5499999999999998,0.0,4.0,0.0
04Q9AIZ7NO,c1cc(ccc1CCc2c[nH]c3c2c(=O)[nH]c(N)n3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,427.4170000000002,0.6664,191.26,6.0,6.0,9.0,3.0,0.0,3.0,0.25,31.0,162.0,110.73660000000004,174.8624639405642,1.6355526811030905,1140.9616284303916,-4.15,0.0,11.0,7.0
SX6K58TVWC,COc1ccc(cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3)Cl,494.01300000000026,3.641700000000002,113.6,3.0,5.0,8.0,2.0,1.0,3.0,0.391304347826087,33.0,178.0,126.20940000000004,198.64724753010972,1.513273099027308,1037.717200767653,-2.78,1.0,10.0,3.0
91A0K1TY3Z,CCC(=O)O[C@@]1([C@@H](C)C[C@@]2([H])[C@]3([H])C[C@@H](C4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@@]21C)O)F)F)C(=O)CCl,484.9670000000002,4.051100000000004,80.67000000000002,1.0,5.0,4.0,0.0,4.0,4.0,0.72,33.0,182.0,118.02180000000008,197.12201340943105,1.880079690411704,927.6849820434246,-1.6,3.0,8.0,1.0
WJ68R08KX9,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@H](COc2cccc(c2)C(F)(F)F)O)[C@@H](C[C@@H]1O)O,500.55400000000014,4.427400000000007,96.22,3.0,6.0,12.0,1.0,1.0,2.0,0.5769230769230769,35.0,196.0,124.53240000000008,203.61312821395563,1.8242845079083687,814.6852198454238,-2.359999999999999,1.0,9.0,3.0
5P4DHS6ENR,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,603.7500000000003,2.8346000000000027,121.40000000000003,1.0,12.0,32.0,1.0,0.0,1.0,0.7666666666666667,42.0,244.0,158.55019999999968,251.0368504437363,1.7386033479807952,667.7836554032789,-1.8700000000000003,0.0,12.0,1.0
