api_name,api_unii,api_smiles,dose_mg,denominator_unit,route,primary_dosage_form,inactive_ingredients
VORICONAZOLE,JFU09I87TR,C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O,40.0,ML,ORAL,"POWDER, FOR SUSPENSION","[{""name"": ""Anhydrous Citric Acid"", ""unii"": ""XF417D3PSL""}, {""name"": ""SILICON DIOXIDE"", ""unii"": ""ETJ7Z6XBU4""}, {""name"": ""SODIUM BENZOATE"", ""unii"": ""OJ245FE5EU""}, {""name"": ""SUCROSE"", ""unii"": ""C151H8M554""}, {""name"": ""TITANIUM DIOXIDE"", ""unii"": ""15FIX9V2JP""}, {""name"": ""XANTHAN GUM"", ""unii"": ""TTV12P4NEE""}, {""name"": ""Trisodium Citrate Dihydrate"", ""unii"": ""B22547B95K""}]"
BUSPIRONE HYDROCHLORIDE,207LT9J9OC,C1CCC2(C1)CC(=O)N(CCCCN3CCN(CC3)c4ncccn4)C(=O)C2.Cl,30.0,1,ORAL,TABLET,"[{""name"": ""ANHYDROUS LACTOSE"", ""unii"": ""3SY5LH9PMK""}, {""name"": ""MAGNESIUM STEARATE"", ""unii"": ""70097M6I30""}, {""name"": ""CELLULOSE, MICROCRYSTALLINE"", ""unii"": ""OP1R32D61U""}, {""name"": ""SILICON DIOXIDE"", ""unii"": ""ETJ7Z6XBU4""}, {""name"": ""SODIUM STARCH GLYCOLATE TYPE A POTATO"", ""unii"": ""5856J3G2A2""}]"
OXCARBAZEPINE,VZI5B1W380,c1ccc2c(c1)CC(=O)c3ccccc3N2C(=O)N,60.0,ML,ORAL,SUSPENSION,"[{""name"": ""METHYLPARABEN"", ""unii"": ""A2I8C7HI9T""}, {""name"": ""PROPYLPARABEN"", ""unii"": ""Z8IX2SC1OH""}, {""name"": ""SACCHARIN SODIUM"", ""unii"": ""SB8ZUX40TY""}, {""name"": ""PEG-8 STEARATE"", ""unii"": ""2P9L47VI5E""}, {""name"": ""MALIC ACID"", ""unii"": ""817L1N4CKP""}, {""name"": ""SORBITOL"", ""unii"": ""506T60A25R""}, {""name"": ""PROPYLENE GLYCOL"", ""unii"": ""6DC9Q167V3""}, {""name"": ""CELLULOSE, MICROCRYSTALLINE"", ""unii"": ""OP1R32D61U""}, {""name"": ""CARBOXYMETHYLCELLULOSE SODIUM"", ""unii"": ""K679OBS311""}, {""name"": ""HYDROXYETHYL CELLULOSE (140 MPA.S AT 5%)"", ""unii"": ""8136Y38GY5""}]"
ROFLUMILAST,0P6C6ZOP5U,C1CC1COc2cc(ccc2OC(F)F)C(=O)Nc3c(cncc3Cl)Cl,250.0,1,ORAL,TABLET,"[{""name"": ""STARCH, CORN"", ""unii"": ""O8232NY3SJ""}, {""name"": ""HYPROMELLOSE 2910 (5 MPA.S)"", ""unii"": ""R75537T0T4""}, {""name"": ""LACTOSE MONOHYDRATE"", ""unii"": ""EWQ57Q8I5X""}, {""name"": ""MAGNESIUM STEARATE"", ""unii"": ""70097M6I30""}, {""name"": ""POLOXAMER 188"", ""unii"": ""LQA7B6G8JG""}]"
LAZERTINIB,4A2Y23XK11,C=CC(=O)Nc1cc(c(cc1N2CCOCC2)OC)Nc3nccc(n3)-n4cc(CN(C)C)c(-c5ccccc5)n4,240.0,1,ORAL,TABLET,"[{""name"": ""HEMATITE"", ""unii"": ""1K09F3G675""}, {""name"": ""SILICON DIOXIDE"", ""unii"": ""ETJ7Z6XBU4""}, {""name"": ""croscarmellose sodium"", ""unii"": ""M28OL1HH48""}, {""name"": ""CELLULOSE, MICROCRYSTALLINE"", ""unii"": ""OP1R32D61U""}, {""name"": ""MANNITOL"", ""unii"": ""3OWL53L36A""}, {""name"": ""MAGNESIUM STEARATE"", ""unii"": ""70097M6I30""}, {""name"": ""POLYETHYLENE GLYCOL, UNSPECIFIED"", ""unii"": ""3WJQ0SDW1A""}, {""name"": ""POLYVINYL ALCOHOL"", ""unii"": ""532B59J990""}, {""name"": ""GLYCERYL MONOCAPRYLOCAPRATE"", ""unii"": ""G7515SW10N""}, {""name"": ""TITANIUM DIOXIDE"", ""unii"": ""15FIX9V2JP""}, {""name"": ""TALC"", ""unii"": ""7SEV7J4R1U""}, {""name"": ""FERROSOFERRIC OXIDE"", ""unii"": ""XM0M87F357""}, {""name"": ""FERRIC OXIDE YELLOW"", ""unii"": ""EX438O2MRT""}]"
OMEPRAZOLE,KG60484QX9,Cc1cnc(C[S+](c2[nH]c3ccc(cc3n2)OC)[O-])c(C)c1OC,20.0,1,ORAL,"CAPSULE, DELAYED RELEASE","[{""name"": ""ANHYDROUS LACTOSE"", ""unii"": ""3SY5LH9PMK""}, {""name"": ""CETYL ALCOHOL"", ""unii"": ""936JST6JCN""}, {""name"": ""SODIUM PHOSPHATE DIBASIC DIHYDRATE"", ""unii"": ""94255I6E2T""}, {""name"": ""HYPROMELLOSE, UNSPECIFIED"", ""unii"": ""3NXW29V3WO""}, {""name"": ""HYPROMELLOSE PHTHALATE (31% PHTHALATE, 40 CST)"", ""unii"": ""G4U024CQK6""}, {""name"": ""MANNITOL"", ""unii"": ""3OWL53L36A""}, {""name"": ""SODIUM LAURYL SULFATE"", ""unii"": ""368GB5141J""}, {""name"": ""GELATIN, UNSPECIFIED"", ""unii"": ""2G86QN327L""}, {""name"": ""TITANIUM DIOXIDE"", ""unii"": ""15FIX9V2JP""}, {""name"": ""FD&C BLUE NO. 1"", ""unii"": ""H3R47K3TBD""}]"
FUROSEMIDE,7LXU5N7ZO5,c1cc(CNc2cc(c(cc2C(=O)O)S(=O)(=O)N)Cl)oc1,20.0,1,ORAL,TABLET,"[{""name"": ""LACTOSE MONOHYDRATE"", ""unii"": ""EWQ57Q8I5X""}, {""name"": ""STARCH, CORN"", ""unii"": ""O8232NY3SJ""}, {""name"": ""TALC"", ""unii"": ""7SEV7J4R1U""}, {""name"": ""SILICON DIOXIDE"", ""unii"": ""ETJ7Z6XBU4""}, {""name"": ""MAGNESIUM STEARATE"", ""unii"": ""70097M6I30""}]"
ISOSORBIDE MONONITRATE,LX1OH63030,C1[C@@H]([C@]2([H])[C@@]([H])([C@@H](CO2)O[N+](=O)[O-])O1)O,10.0,1,ORAL,TABLET,"[{""name"": ""LACTOSE, UNSPECIFIED FORM"", ""unii"": ""J2B2A4N98G""}, {""name"": ""TALC"", ""unii"": ""7SEV7J4R1U""}, {""name"": ""SILICON DIOXIDE"", ""unii"": ""ETJ7Z6XBU4""}, {""name"": ""CELLULOSE, MICROCRYSTALLINE"", ""unii"": ""OP1R32D61U""}, {""name"": ""ALUMINUM STEARATE"", ""unii"": ""U6XF9NP8HM""}]"
NALTREXONE HYDROCHLORIDE,Z6375YW9SF,C1CC1CN2CC[C@@]34c5c6ccc(c5O[C@@]4([H])C(=O)CC[C@]3([C@H]2C6)O)O.Cl,50.0,1,ORAL,TABLET,"[{""name"": ""LACTOSE MONOHYDRATE"", ""unii"": ""EWQ57Q8I5X""}, {""name"": ""CELLULOSE, MICROCRYSTALLINE"", ""unii"": ""OP1R32D61U""}, {""name"": ""SILICON DIOXIDE"", ""unii"": ""ETJ7Z6XBU4""}, {""name"": ""CROSPOVIDONE"", ""unii"": ""2S7830E561""}, {""name"": ""MAGNESIUM STEARATE"", ""unii"": ""70097M6I30""}, {""name"": ""HYPROMELLOSE 2910 (6 MPA.S)"", ""unii"": ""0WZ8WG20P6""}, {""name"": ""TITANIUM DIOXIDE"", ""unii"": ""15FIX9V2JP""}, {""name"": ""POLYETHYLENE GLYCOL 400"", ""unii"": ""B697894SGQ""}, {""name"": ""FERRIC OXIDE YELLOW"", ""unii"": ""EX438O2MRT""}, {""name"": ""polysorbate 80"", ""unii"": ""6OZP39ZG8H""}, {""name"": ""HEMATITE"", ""unii"": ""1K09F3G675""}]"
GABAPENTIN,6CW7F3G59X,C1CCC(CC1)(CC(=O)O)CN,300.0,1,ORAL,CAPSULE,"[{""name"": ""STARCH, CORN"", ""unii"": ""O8232NY3SJ""}, {""name"": ""TALC"", ""unii"": ""7SEV7J4R1U""}, {""name"": ""GELATIN, UNSPECIFIED"", ""unii"": ""2G86QN327L""}, {""name"": ""TITANIUM DIOXIDE"", ""unii"": ""15FIX9V2JP""}, {""name"": ""FD&C RED NO. 40"", ""unii"": ""WZB9127XOA""}, {""name"": ""D&C YELLOW NO. 10"", ""unii"": ""35SW5USQ3G""}, {""name"": ""SODIUM LAURYL SULFATE"", ""unii"": ""368GB5141J""}]"
