excipient_names,unii,hpe_monograph,hpe_page,match_method,Emulsifying agent,Antimicrobial preservative,Tablet and capsule diluent,Tablet binder,Stabilizing agent,Solvent,Suspending agent,Coating agent,Viscosity-increasing agent,Emollient,Sweetening agent,Therapeutic agent,Solubilizing agent,Antioxidant,Buffering agent,Flavoring agent,Thickening agent,Plasticizer,Tablet and capsule lubricant,Adsorbent,Oleaginous vehicle,Alkalizing agent,Antiseptic,Disinfectant,Film-forming agent,Sustained-release agent,Wetting agent,Emulsion stabilizer,Humectant,Tablet and capsule disintegrant,Acidifying agent,Aerosol propellant,Skin penetrant,Stiffening agent,Controlled-release agent,Lubricant,Ointment base,Anticaking agent,Diluent,Dissolution enhancer,Gelling agent,Glidant,Sequestering agent,Tablet disintegrant,Dispersing agent,Flavor enhancer,Granulation aid,Opacifier,Tablet filler,Nonionic surfactant,Tonicity agent,Bioadhesive material,Chelating agent,Disintegrant,Tablet diluent,Acidulant,Biodegradable material,Extended-release agent,Mucoadhesive,Penetration agent,Release-modifying agent,Tablet and capsule filler,Anionic surfactant,Antifoaming agent,Cationic surfactant,Colorant,Complexing agent,Dietary supplement,Directly compressible tablet excipient,Dry powder inhaler carrier,Penetration enhancer,Suppository base,Surfactant,Taste-masking agent,Vaccine adjuvant,Water-absorbing agent,Air displacement,Alcohol denaturant,Astringent,Binding agent,Freeze-drying agent,Lyophilization aid,Modified-release agent,Thermal stabilizer,Water-repelling agent,Absorption enhancer,Antacid,Antiadherent,Bioabsorbable material,Biocompatibility enhancer,Biocompatible material,Bittering agent,Bulking agent,Color adjuvant,Color dispersant,Compression aid,Confectionery base,Cooling agent,Cosolvent,Crosslinking agent,Desiccant,Detergent,Diagnostic aid,Encapsulating agent,Enteric coating agent,Esterifying agent,Fecal softener,Foam stabilizer,Foaming agent,Food additive,Gel base,Matrix-forming agent,Medicated confectionary base,Membrane-forming agent,Organic base,Osmotic agent,Pigment,Polishing agent,Preservative,Rheology modifier,Solubility enhancing agent,Sucrose crystallization modifier,Tablet lubricant,Transdermal delivery component,Viscosity-controlling agent,Water-miscible cosolvent
GLYCERIN,PDC6A3C0OX,Glycerin,283.0,exact,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCOHOL,3K9958V90M,Alcohol,17.0,exact,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIETHYL CITRATE,8Z96QXD6UM,Triethyl Citrate,756.0,exact,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYLPARABEN,A2I8C7HI9T,Methylparaben,441.0,exact,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISOPROPYL ALCOHOL,ND2M416302,Isopropyl Alcohol,346.0,exact,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTYL ALCOHOL,8PJ61P6TS3,Alcohol,17.0,NOT in HPE,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG-75, POLYETHYLENE GLYCOL 3350, Polyethylene Glycol 3350, Polyethylene glycol 3350, polyethylene glycol 3350",G2M7P15E5P,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUMINUM OXIDE,LMI26O6933,Aluminum Oxide,37.0,exact,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM BENZOATE,OJ245FE5EU,Sodium Benzoate,627.0,exact,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYETHYLENE GLYCOL 8000, Polyethylene Glycol 8000, Polyethylene glycol 8000, polyethylene glycol 8000",Q662QK8M3B,Polyethylene Glycol,517.0,grade_stripped,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYPROMELLOSE 2910 (5 CPS), HYPROMELLOSE 2910 (5 MPA.S), Hypromellose 2910 (5 MPA.S), Hypromellose 2910 (5 Mpa.S), hypromellose 2910 (5 MPA.S)",R75537T0T4,Hypromellose,326.0,grade_stripped,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"LACTOSE, UNSPECIFIED FORM",J2B2A4N98G,"Lactose, Anhydrous",359.0,NOT in HPE,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANHYDROUS DIBASIC CALCIUM PHOSPHATE,L11K75P92J,"Calcium Phosphate, Dibasic Anhydrous",94.0,exact,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPYLPARABEN,Z8IX2SC1OH,Propylparaben,596.0,exact,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORBITOL,506T60A25R,Sorbitol,679.0,exact,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYDEXTROSE,VH2XOU12IE,Polydextrose,513.0,exact,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
